# package,descriptiosn
xorg-server,X server
xorg-xinit,tell what to run when X server starts
xorg-xprop,detect window properties
xorg-xrandr,query display informations
xclip,manage X clipboard
xdotool,window actions from command line
sxhkd,bind keys
numlockx,enable numlock
redshift,reduce amount of blue light
i3-gaps,window manager
i3blocks,status bar
i3lock-color,locker
dmenu,dmenu
arandr,screen layout configuration
xcompmgr,windows transparency
libnotify,allows desktop notifications
dunst,notification system
exfat-utils,use exfat drives
sxiv,image viewer
xwallpaper,set wallpaper
ffmpeg,video manipulation program
mpv,video player
pavucontrol,pulseaudio volume control
unrar,extract rar files
unzip,extract zip files
zip,zip files
zip,create zip files
p7zip,7z files support
zathura,pdf reader
zatura-pdf-mupdf,pdf reader
fzf,fuzzy finder
audacious,music player
file-roller,graphical archives manager
thunar,graphical files manager
thunar-archive-plugin,manage archives from thunar
thunar-media-tags-plugin,audio and video file infos from thunar
gvfs,mount virtual filesystems
xfce4-terminal,terminal
aur:brave-bin,web browser
galculator,calculator
gimp,image manipulation program
imagemagick,image manipulation from command line
htop,tasks manager
iotop,io manager
lxtask,graphical tasks manager
lxappearance,theme configuration
lm_sensors,query sensors informations
lua,lua
nnn,command line files manager
obs-studio,video recording
qemu,virtualization
rsync,synchronize files
texlive-latex-extra,latex
wget,download from command line
zsh,zsh
maim,screenshot tool
python-pywal,generate colorscheme from wallpaper
noto-fonts,noto font
noto-fonts-emoji,noto font
jack2,jack audio server
ardour,ardour daw
gparted,partition editor
gcolor2,color picker
inkscape,vector image editor
hydrogen,drum program
aur:lingot,guitar tuner
jdk8-openjdk,openjdk 8 jave development kit
jre8-openjdk,openjdk 8 jave runtime environment
lxinput,keyboard and mouse configuration
network-manager-applet,network manager applet
pandoc,document converter
xf86-input-wacom,wacom tablet support
xournalpp,annotate pdfs and take notes
aur:simple-mtpfs,mount android phones
